time1,Left0,Left1,Left2,Left3,Left4,time2,Right0,Right1,Right2,Right3,Right4
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1022,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1021,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1022,1023,1023,1022
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1020,1022,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1022,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1022,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1021,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1022,1023,1023,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1020,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1021,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1023,1023,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1021,1022,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1021,1022,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1021,1022,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1021,1022,1023,188.0,1023,1023,1023,1022,1023
188.0,1023,1023,1021,1022,1023,188.0,1023,1023,1023,1022,1023
